"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"167",-92.43197279,-94.41693878,-90.30346939,-92.99204082,-91.27346939,-90.93226757,-93.37283447,-88.98136054,-91.45655329,-89.35344671,-95.72632653,-97.62510204,-91.73530612,-95.22959184,-93.39387755,-96.94489796,-99.69081633,-93.22020408,-97.0777551,-95.05346939,-97.28632653,-100.1212245,-93.00428571,-97.3922449,-95.76877551,-96.80530612,-99.3055102,-92.32367347,-96.58510204,-95.90040816,-98.20357143,-100.9457143,-93.59785714,-94.805,-97.27142857,NA,NA,NA,NA,NA
"168",-91.89163265,-81.01040816,-82.09734694,-99.20571429,-91.26602041,-92.48836735,-81.34163265,-82.42632653,-99.14734694,-91.33714286,-92.92163265,-81.92,-82.94346939,-99.74118738,-91.48959184,-91.27959184,-82.62387755,-83.73183673,-100.6046939,-92.8277551,-93.90485261,-83.0631746,-84.13634921,-100.765873,-92.94240363,-94.23142857,-83.50285714,-84.45178571,-100.9410714,-94.43174603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",-97.35602041,-104.6190816,-100.9682653,-104.172551,-106.0264286,-98.95591837,-106.6228571,-102.6036735,-107.3577551,-109.5538776,-99.16816327,-106.2265306,-102.3714286,-107.9757143,-110.6077551,-100.0238776,-109.6654762,-104.5077551,-108.9114286,-110.1210204,-99.22571429,NA,-102.6387755,-110.3059184,-111.5144898,-100.7457143,NA,-104.8247619,-107.7591837,-109.9046939,NA,NA,NA,-111.3257143,-114.1971429,NA,NA,NA,NA,NA
"170",-90.39,-94.58714286,-98.92744898,-98.44540816,-95.51469388,-90.32693878,-94.7522449,-99.06938776,-98.34714286,-95.54163265,-90.24020408,-94.59387755,-99.91040816,-98.36040816,-95.05795918,-90.97419295,-95.41146568,-100.0289796,-99.34571429,-96.25100529,-91.12306122,-94.49142857,-100.11,-98.95489796,NA,-91.75714286,NA,-100.3627438,-99.6044898,NA,-91.62035714,NA,-100.9107143,-99.14642857,NA,NA,NA,NA,NA,NA
"171",-93.86714286,-94.67562358,-92.27768707,-95.11675737,-92.89399093,-96.91265306,-97.24183673,-96.61428571,-97.08857143,-95.18183673,-101.7455102,-102.3255102,-104.165102,-104.205102,-100.237551,-106.4804082,-106.2234694,-108.7814286,-108.5340816,-105.2936735,-104.5565306,-104.194898,-106.2140816,-107.0534694,-103.0738776,-107.3361224,-107.6338776,-110.3170408,-109.9418367,-106.7204082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",-86.83537415,-90.64877551,-92.20489796,-88.66641723,-86.64442177,-88.79204082,-92.75428571,-94.65693878,-87.54204082,-89.11857143,-97.12061224,-99.13530612,-102.1489796,-97.24244898,-95.17795918,-101.3170748,-103.3551701,-106.3313832,-101.3079592,-98.41555556,-104.7734694,-105.5020408,-107.9032653,-103.2655102,-100.1565306,NA,-104.1328571,-105.8938776,-101.6569388,-99.07102041,NA,-106.794966,-108.590102,-104.4934014,-102.2873469,NA,NA,NA,NA,NA
"173",-87.21979592,-87.83591837,-89.47530612,-85.30306122,-94.84571429,-88.03306122,-88.89102041,-90.21346939,-86.33061224,-95.63326531,-95.21897959,-95.64020408,-96.14653061,-90.26979592,-101.4661224,-101.010907,-99.87278912,-99.37081633,-93.1829932,-105.6954195,-102.6779592,-101.6118367,-101.1622449,-95.42877551,-107.8226531,-101.5793878,-101.7397959,-101.0414286,-95.6522449,-107.2579592,-105.5018659,-104.1870748,-103.852381,-98.03964286,-110.2584014,-101.1714286,NA,-99.5,-96,-105.25
"174",-82.5555102,-89.64193878,-91.15632653,-86.85234694,-83.87510204,-83.77489796,-90.75326531,-92.16959184,-87.98244898,-85.14346939,-83.82142857,-91.05918367,-92.54918367,-88.13285714,-85.10428571,-83.90591837,-91.10959184,-92.20489796,-88.16204082,-85.16326531,-84.92755102,-92.07020408,-93.34346939,-89.05612245,-86.25061224,-85.11469388,-92.2844898,-93.31326531,-89.25877551,-86.32489796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",-90.99102041,-83.00346939,-91.95285714,-88.12816327,-88.14530612,-90.62816327,-82.9755102,-93.79693878,-87.91530612,-88.69979592,-89.89142857,-81.9477551,-92.7877551,-87.2177551,-88.73897959,-89.14795918,-81.27265306,-95.22734694,-86.5355102,-88.18387755,-88.89734694,-81.01367347,-96.73428571,-86.28877551,-88.07020408,-89.12,-81.33591837,-97.68693878,-86.86653061,-88.82979592,-89.67346561,-82.04978836,-98.83547619,-87.58679894,-89.60021164,NA,NA,NA,NA,NA
"176",-83.84219955,-95.07353741,-90.3800907,-92.81213152,-92.00834467,-85.77959184,-102.1165306,-94.6477551,-96.70612245,-96.95877551,-91.00836735,-109.4430612,-101.9902041,-104.3602041,-103.3957143,-93.34201814,-113.2410658,-105.3980272,-108.13839,-106.4964626,-92.97081633,-110.4087755,-103.0587755,-105.3055102,-103.8226531,-95.40346939,-115.6869388,-108.3293878,-110.8673469,-108.4104082,-96.68428571,-117.3428571,-108.6885714,-111.4221429,-109.6335714,NA,NA,NA,NA,NA
