"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"26",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3296,3360,3360,240,720,240,240,240,NA,NA,NA,NA,NA
"27",3120,3120,3120,3120,3060,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,2160,3360,1800,1680,1860,NA,900,NA,NA,NA
"28",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3296,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,1500,1080,422,1800,1980,NA,NA,NA,NA,NA
"29",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,2171,3360,3360,3360,3360,NA,3360,3360,3360,2460,NA,3000,3180,2820,NA,NA,NA,60,60
"30",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,2160,2160,2160,2160,2160,NA,NA,NA,NA,NA
"31",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,2160,2160,2160,2160,2160,NA,NA,NA,NA,NA
"32",3120,NA,3120,3120,3120,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,1200,NA,2340,1080,2100,NA,NA,NA,NA,NA
"33",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3120,3120,3360,3268.2,3360,NA,NA,240,NA,240,NA,NA,NA,NA,NA
"34",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,240,720,600,2940,240,NA,NA,NA,NA,NA
"35",3120,3120,3120,NA,3120,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,2156,2880,3000,NA,3296,NA,NA,NA,NA,480
"36",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,1800,3360,3360,3360,3360,3360,3360,1800,3360,3120,3360,3120,NA,3120,NA,420,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,3120,3120,NA,3120,NA,3360,3360,NA,3360,NA,3360,3360,NA,3360,NA,3360,3360,NA,3360,NA,3360,3360,NA,3360,NA,3360,3360,NA,3360,NA,2160,240,NA,2580,NA,NA,NA,NA,NA
"38",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3296,3360,60,3360,3360,3360,3360,NA,2456,1440,1376,1860,NA,NA,NA,NA,NA
"39",3120,3120,3120,3120,3120,420,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,420,3360,3360,NA,3360,NA,2580,3360,NA,240,NA,NA,240,NA,NA,NA,NA,NA
"40",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,2160,1680,1680,2160,2160,NA,NA,NA,NA,NA
"41",3120,3120,3120,3120,3120,2100,3360,3360,3360,3360,NA,3300,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,240,1440,2160,2460,NA,NA,NA,NA,NA
"42",3120.2,3300,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,900,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,720,NA,1200,1200,720,NA,NA,NA,NA,NA
"43",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,720,3360,720,720,720,NA,360,NA,NA,NA
