,hex,1,2,3,4,5,6,7,8,total
106,hex_106,125,239,120,251,405,256,3,NA,1399
107,hex_107,2,54,339,611,294,634,2,NA,1936
108,hex_108,59,22,23,43,17,15,5,NA,184
109,hex_109,25,9,33,51,168,348,65,NA,699
110,hex_110,84,216,166,82,149,159,49,NA,905
111,hex_111,16,30,0,0,5,15,12,NA,78
112,hex_112,75,192,436,376,488,621,11,NA,2199
113,hex_113,0,0,1,32,18,29,0,NA,80
114,hex_114,72,97,33,56,54,318,300,NA,930
115,hex_115,19,61,11,38,13,2,21,NA,165
116,hex_116,27,39,72,92,147,300,198,NA,875
117,hex_117,275,566,19,58,81,1,0,NA,1000
118,hex_118,11,18,35,89,56,106,89,NA,404
119,hex_119,201,96,75,234,351,248,12,NA,1217
120,hex_120,2,3,0,2,187,158,24,0,376
121,hex_121,91,61,31,87,121,235,111,NA,737
122,hex_122,16,0,0,21,65,93,159,1,355
123,hex_123,39,89,10,23,75,56,3,NA,295
124,hex_124,98,56,28,89,159,173,10,NA,613
125,hex_125,17,9,54,52,30,82,NA,NA,244
126,hex_126,43,21,75,23,6,34,1,0,203
127,hex_127,3,27,38,6,0,2,0,NA,76
128,hex_128,158,39,12,283,135,251,41,NA,919
129,hex_129,70,60,15,125,253,537,258,NA,1318
130,hex_130,19,45,14,19,138,31,1,NA,267
131,hex_131,0,0,0,0,0,0,NA,NA,0
132,hex_132,18,16,33,55,25,22,16,0,185
133,hex_133,151,247,331,189,315,441,10,NA,1684
134,hex_134,129,206,167,128,148,131,13,NA,922
135,hex_135,0,1,154,91,468,336,3,NA,1053
136,hex_136,1,68,28,42,37,59,16,0,251
137,hex_137,22,1,3,0,26,1,0,NA,53
138,hex_138,0,0,3,1,5,8,31,NA,48
139,hex_139,35,133,64,76,122,202,227,NA,859
140,hex_140,40,3,0,0,0,5,0,NA,48
141,hex_141,0,0,0,2,53,60,37,NA,152
142,hex_142,6,2,10,1,7,30,45,NA,101
143,hex_143,4,0,0,0,0,5,NA,NA,9
144,hex_144,98,80,98,674,1204,820,55,NA,3029
145,hex_145,1,0,1,0,0,0,0,NA,2
146,hex_146,119,41,30,42,157,50,11,0,450
147,hex_147,0,0,0,11,2,0,0,NA,13
148,hex_148,165,14,7,17,1,0,NA,NA,204
149,hex_149,0,4,16,22,13,14,NA,NA,69
150,hex_150,1,3,4,13,1,15,4,NA,41
151,hex_151,0,0,0,0,0,0,0,NA,0
152,hex_152,18,47,34,22,3,10,3,NA,137
153,hex_153,14,0,0,46,0,0,0,NA,60
154,hex_154,0,0,0,0,0,0,NA,NA,0
155,hex_155,0,14,14,0,0,0,0,NA,28
156,hex_156,33,13,0,2,0,0,1,NA,49
157,hex_157,173,14,215,114,78,45,NA,NA,639
158,hex_158,0,13,0,0,0,0,0,NA,13
159,hex_159,6,0,15,24,3,8,0,NA,56
160,hex_160,28,68,18,27,1,64,82,0,288
161,hex_161,41,115,34,61,19,37,NA,NA,307
162,hex_162,0,0,0,0,0,0,NA,NA,0
163,hex_163,0,0,0,1,0,46,0,NA,47
164,hex_164,25,14,7,104,227,10,NA,NA,387
165,hex_165,1,37,30,23,8,0,NA,NA,99
166,hex_166,0,0,0,0,0,0,NA,NA,0
167,hex_167,26,0,18,54,95,54,1,NA,248
168,hex_168,10,48,24,46,35,13,NA,NA,176
169,hex_169,35,83,92,63,88,129,2,NA,492
170,hex_170,121,3,0,0,8,0,0,NA,132
171,hex_171,20,36,219,200,337,329,NA,NA,1141
172,hex_172,0,34,14,1,54,155,35,NA,293
173,hex_173,122,64,70,322,514,1005,798,0,2895
174,hex_174,21,0,1,0,0,0,NA,NA,22
175,hex_175,0,4,22,130,113,63,17,NA,349
176,hex_176,5,30,58,83,220,180,47,NA,623
177,hex_177,0,30,3,51,43,0,0,NA,127
178,hex_178,24,157,235,310,213,289,236,NA,1464
179,hex_179,2,8,0,10,16,3,NA,NA,39
180,hex_180,0,0,0,0,0,0,NA,NA,0
181,hex_181,27,51,11,48,211,108,21,NA,477
182,hex_182,13,4,864,357,780,440,0,NA,2458
183,hex_183,50,86,52,164,69,84,47,NA,552
184,hex_184,10,33,6,12,149,174,68,NA,452
185,hex_185,0,0,0,0,0,0,NA,NA,0
186,hex_186,65,174,211,56,77,76,NA,NA,659
187,hex_187,0,0,18,6,0,59,0,0,83
188,hex_188,5,1,7,31,15,0,NA,NA,59
189,hex_189,172,75,50,43,37,64,2,NA,443
190,hex_190,0,9,1,15,9,3,NA,NA,37
191,hex_191,196,87,103,194,96,91,63,NA,830
192,hex_192,18,11,0,6,5,83,67,NA,190
193,hex_193,1,155,41,72,385,131,121,0,906
194,hex_194,352,243,57,95,81,14,28,NA,870
195,hex_195,0,0,0,1,3,0,0,NA,4
196,hex_196,7,33,138,25,56,41,NA,NA,300
197,hex_197,27,3,2,15,191,107,15,NA,360
198,hex_198,147,403,79,36,110,177,34,NA,986
199,hex_199,84,32,45,120,688,847,297,NA,2113
200,hex_200,25,12,3,0,0,15,23,NA,78
201,hex_201,0,0,0,0,0,1,4,0,5
202,hex_202,2,10,35,14,10,45,12,NA,128
203,hex_203,14,1,1,2,1,3,3,NA,25
204,hex_204,0,0,0,0,1,0,0,NA,1
205,hex_205,1351,777,43,1,51,35,12,NA,2270
206,hex_206,117,6,3,1,4,4,28,0,163
207,hex_207,114,78,53,12,58,214,42,NA,571
