"","hex","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1","hex_1",0.104340308848912,0.104340308848912,0.104340308848912,0.104340308848912,0.104340308848912,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,-0.992964880171055,-0.0524175752967977,-1.54161747468104,-0.444312285661072,-0.522691227733926,0,0,0,-3.34694577375913,0
"2","hex_2",-2.01189112711817,0.104340308848912,0.104340308848912,0.104340308848912,0.104340308848912,0,0.417856077140331,0.417856077140331,-2.79568054784672,0.417856077140331,0,0.417856077140331,0.417856077140331,0,0.417856077140331,0,0.417856077140331,0.417856077140331,0,0.417856077140331,0,0.417856077140331,0.417856077140331,0,0.417856077140331,0,0.417856077140331,0.417856077140331,0,0.417856077140331,0,-2.40378583748244,-2.40378583748244,0,-2.40378583748244,0,0,0,0,0
"3","hex_3",0.104340308848912,0.104340308848912,0.104340308848912,0.104340308848912,0,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0,-3.03081737406528,-3.03081737406528,-3.03081737406528,-3.03081737406528,0,0,0,0,0,0
"4","hex_4",0.104340308848912,0.104340308848912,0.104340308848912,0.104340308848912,0.104340308848912,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,-2.24702795333673,-1.14972276431676,-0.601070169806781,-0.679449111879636,-2.24702795333673,0,0,0,0,0,0
"5","hex_5",0.104340308848912,0.104340308848912,0.104340308848912,0.104340308848912,0.104340308848912,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,-3.03081737406528,-3.03081737406528,0.417856077140331,-3.03081737406528,-3.65784891064812,0,0,-3.65784891064812,0,0,0,0,0,0
"6","hex_6",0.104340308848912,0.104340308848912,0.104340308848912,0,0.104340308848912,0.417856077140331,0.417856077140331,0.0259613667760571,0,0.417856077140331,0.417856077140331,0.417856077140331,0,0,0.417856077140331,0.417856077140331,0.417856077140331,0,0,0.417856077140331,0.417856077140331,0.417856077140331,0,0,0.417856077140331,0.417856077140331,0.417856077140331,0,0,0.417856077140331,0.417856077140331,0.417856077140331,0,0,-0.601070169806781,-3.10919631613813,-3.50109102650241,0,0,0
"7","hex_7",0.104340308848912,0.104340308848912,0.104340308848912,0.104340308848912,0.104340308848912,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,-3.65784891064812,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0,0.417856077140331,0.417856077140331,-0.522691227733926,-0.287554401515362,0,0.415243445737903,0.101727677446483,0,0,0,0,0
"8","hex_8",0,0.104340308848912,0.104340308848912,0.104340308848912,0.104340308848912,0,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0,0.417856077140331,0.417856077140331,-0.9145859380982,0.417856077140331,0,0.417856077140331,0.417856077140331,0,0.417856077140331,0,0.417856077140331,0.417856077140331,0,0.417856077140331,0,-2.40378583748244,-0.522691227733926,0,-2.40378583748244,0,0,0,0,0
"9","hex_9",0.104340308848912,0.104340308848912,0.104340308848912,0.104340308848912,0.104340308848912,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.104340308848912,0.417856077140331,0.104340308848912,0.417856077140331,-1.38485959053533,0,-1.5468427374859,0,-3.65784891064812,0,0,0,0,0
"10","hex_10",0.104340308848912,0.104340308848912,0.104340308848912,0.104340308848912,0.104340308848912,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0.339477135067476,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0,0.417856077140331,0.417856077140331,0.417856077140331,0.417856077140331,0,0.417856077140331,-3.65784891064812,0.261098192994621,0.417856077140331,0,-1.46323853260818,0,0,-3.89298573686668,0,0
