"","hex","MEAN_STD"
"1","hex_1",1.5937033520841
"2","hex_2",0.623760402802142
"3","hex_3",0.602164604836994
"4","hex_4",1.753532045922
"5","hex_5",-0.0600213381804942
"6","hex_6",-0.189590564506595
"7","hex_7",-0.883943991675188
"8","hex_8",0.333486070071138
"9","hex_9",-1.07145515584318
"10","hex_10",-0.0560998763785965
"11","hex_11",1.06692508949231
"12","hex_12",0.120911612610252
"13","hex_13",0.44797967268338
"14","hex_14",0.625709924687767
"15","hex_15",-0.683713366643313
"16","hex_16",0.0907296103689128
"17","hex_17",-0.629994616310396
"18","hex_18",0.834321842822116
"19","hex_19",-0.340098135084202
"20","hex_20",-0.653414790209474
"21","hex_21",-0.0831367836579657
"22","hex_22",1.24891802991568
"23","hex_23",-0.0326216481938068
"24","hex_24",-0.529794344190316
"25","hex_25",-0.993545666626454
"26","hex_26",-1.10683697389339
"27","hex_27",-0.3901403359709
"28","hex_28",-0.349461321253281
"29","hex_29",0.629071238918612
"30","hex_30",-0.440715064436006
"31","hex_31",-0.108952488127744
"32","hex_32",-1.1959894720208
"33","hex_33",-0.347967690047981
"34","hex_34",-0.56497481469232
"35","hex_35",0.466335483193697
"36","hex_36",-0.453512220132376
"37","hex_37",-2.16931623044587
"38","hex_38",0.0741840111661975
"39","hex_39",0.421165475214145
"40","hex_40",0.465695149175971
"41","hex_41",-0.9570641425485
"42","hex_42",0.0561562577763364
"43","hex_43",0.420507485494845
"44","hex_44",-0.619622204034593
"45","hex_45",-0.111001611776156
"46","hex_46",-0.557808733047285
"47","hex_47",-0.780093915167041
"48","hex_48",0.53642294653031
"49","hex_49",-1.69652654993307
"50","hex_50",-0.412663842786086
"51","hex_51",-0.867055351016023
"52","hex_52",-1.23064900674356
"53","hex_53",0.853307163284355
"54","hex_54",0.576249165415144
"55","hex_55",-0.290959164372917
"56","hex_56",-1.93104772880585
"57","hex_57",-1.36929621441722
"58","hex_58",0.502290525187379
"59","hex_59",0.510394717440768
"60","hex_60",-1.01886630435781
"61","hex_61",-1.10633269760318
"62","hex_62",-0.0554363576797044
"63","hex_63",1.3758145511889
"64","hex_64",-0.440592717624979
"65","hex_65",-1.3200233148413
"66","hex_66",-1.20257172763871
"67","hex_67",0.587912961508231
"68","hex_68",-1.1414896748147
"69","hex_69",0.491764358334577
"70","hex_70",-0.974707606951437
"71","hex_71",0.559120695249929
"72","hex_72",-0.609565038885403
"73","hex_73",0.555666752744071
"74","hex_74",-0.754239826194999
"75","hex_75",0.0168531078649897
"76","hex_76",-0.680641984912192
"77","hex_77",0.0554810931362956
"78","hex_78",0.0192329415911621
"79","hex_79",-0.484746574737821
"80","hex_80",-0.913656408562309
"81","hex_81",-0.540695598058133
"82","hex_82",-0.0611627833479392
"83","hex_83",-0.572975549190693
"84","hex_84",-0.839421369165595
"85","hex_85",-0.392088468573169
"86","hex_86",-0.845038915300354
"87","hex_87",-0.730255948679239
"88","hex_88",-1.27895273337102
"89","hex_89",-0.947283760976357
"90","hex_90",-0.475872054641601
"91","hex_91",-0.734163020624147
