"","hex","total_raw","total_std"
"147","hex_147",13,-0.940328231984683
"148","hex_148",204,-0.704355389489374
"149","hex_149",69,-0.871142477116948
"150","hex_150",41,-0.905735354550815
"151","hex_151",0,-0.956389210793264
"152","hex_152",137,-0.787131203348985
"153","hex_153",60,-0.88226161629212
"154","hex_154",0,-0.956389210793264
"155","hex_155",28,-0.921796333359396
"156","hex_156",49,-0.895851675283996
"157","hex_157",639,-0.166930329356079
"158","hex_158",13,-0.940328231984683
"159","hex_159",56,-0.887203455925529
"160","hex_160",288,-0.600576757187772
"161","hex_161",307,-0.577103018929076
"162","hex_162",0,-0.956389210793264
"163","hex_163",47,-0.898322595100701
"164","hex_164",387,-0.478266226260884
"165","hex_165",99,-0.834078679866376
"166","hex_166",0,-0.956389210793264
"167","hex_167",248,-0.649995153521868
"168","hex_168",176,-0.738948266923241
"169","hex_169",492,-0.348542935883882
"170","hex_170",132,-0.793308502890747
"171","hex_171",1141,0.453270544636827
"172","hex_172",293,-0.59439945764601
"173","hex_173",2895,2.62026722388694
"174","hex_174",22,-0.929209092809511
"175","hex_175",349,-0.525213702778276
"176","hex_176",623,-0.186697687889717
"177","hex_177",127,-0.799485802432509
"178","hex_178",1464,0.852324095034653
"179","hex_179",39,-0.90820627436752
"180","hex_180",0,-0.956389210793264
"181","hex_181",477,-0.367074834509168
"182","hex_182",2458,2.08037124393694
"183","hex_183",552,-0.274415341382738
"184","hex_184",452,-0.397961332217978
"185","hex_185",0,-0.956389210793264
"186","hex_186",659,-0.142221131189031
"187","hex_187",83,-0.853846038400014
"188","hex_188",59,-0.883497076200472
"189","hex_189",443,-0.40908047139315
"190","hex_190",37,-0.910677194184225
"191","hex_191",830,0.0690425131392299
"192","hex_192",190,-0.721651828206307
"193","hex_193",906,0.162937466174012
"194","hex_194",870,0.118460909473326
"195","hex_195",4,-0.951447371159854
"196","hex_196",300,-0.585751238287543
"197","hex_197",360,-0.511623643786399
"198","hex_198",986,0.261774258842205
"199","hex_199",2113,1.65413757555536
"200","hex_200",78,-0.860023337941776
"201","hex_201",5,-0.950211911251502
"202","hex_202",128,-0.798250342524156
"203","hex_203",25,-0.925502713084454
"204","hex_204",1,-0.955153750884911
"205","hex_205",2270,1.84810478116669
"206","hex_206",163,-0.755009245731822
"207","hex_207",571,-0.250941603124042
