"","hex","1_1","1_2","1_3","1_4","1_5","2_1","2_2","2_3","2_4","2_5","3_1","3_2","3_3","3_4","3_5","4_1","4_2","4_3","4_4","4_5","5_1","5_2","5_3","5_4","5_5","6_1","6_2","6_3","6_4","6_5","7_1","7_2","7_3","7_4","7_5","8_1","8_2","8_3","8_4","8_5"
"28","hex_28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"29","hex_29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0
"30","hex_30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"31","hex_31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"32","hex_32",0,NA,1,0,0,0,NA,2,0,1,0,NA,1,0,0,0,NA,1,0,0,1,NA,2,0,0,1,NA,2,0,2,1,NA,2,0,0,NA,NA,NA,NA,NA
"33","hex_33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA
"34","hex_34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"35","hex_35",0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,0
"36","hex_36",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","hex_37",NA,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA
"38","hex_38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA
"39","hex_39",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,1,0,0,0,NA,0,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA
"40","hex_40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"41","hex_41",0,0,0,0,0,0,1,0,0,0,NA,0,0,1,1,NA,0,0,2,0,NA,0,0,1,0,NA,1,1,2,2,NA,0,0,1,1,NA,NA,NA,NA,NA
"42","hex_42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,1,0,NA,0,0,0,NA,NA,NA,NA,NA
"43","hex_43",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
